user_id,item_id
0,2275 1461 1171 1044 1245 1100 121 700 2397 2003
1,1686 3101 2518 452 1864 3274 2730 3311 1868 709
2,2354 2774 2625 234 724 221 1560 2428 1685 778
3,487 2515 7 3562 106 3390 989 94 1792 785
4,802 2185 2814 174 3035 1868 1545 1337 1670 801
5,195 2275 743 3660 2145 708 2780 2338 3046 512
6,3363 456 702 801 2227 3487 802 2205 2363 2849
7,1287 2338 331 2397 1956 2159 1617 672 304 3463
8,79 1822 3101 3406 702 3600 810 1902 2172 107
9,2630 36 1505 279 1630 609 124 452 1246 1001
10,1404 232 3656 361 3367 452 472 166 3402 389
11,1840 2308 3067 771 1678 677 530 3036 3535 462
12,1073 3671 1328 474 3282 621 1723 3606 2652 90
13,2290 772 3668 2474 6 1403 971 2581 2366 2557
14,1984 2622 3231 3415 3119 3168 2370 1377 2933 1052
15,2397 3608 2140 2492 2626 1621 331 1862 3465 1587
16,1501 3639 872 534 3157 2237 2465 2215 3513 1336
17,2175 3441 165 3534 1746 650 3051 785 621 7
18,1044 1603 3371 636 2338 2666 801 2597 1272 1446
19,3406 2345 3656 389 1459 2037 79 540 452 1337
20,1227 863 3579 933 508 530 20 1678 3390 3448
21,1582 1919 1054 3375 3090 3434 628 1622 3130 24
22,605 956 3432 1787 1323 333 1555 1788 944 3172
23,1227 1045 2768 1690 1341 2221 2306 1615 598 3051
24,2528 1011 409 2474 1583 6 652 169 2512 305
25,966 621 1184 1365 3669 2024 619 1073 41 1671
26,476 94 3402 1858 3448 863 333 3350 584 3677
27,2129 176 1227 984 1746 1304 1956 3482 1012 1814
28,2980 944 2129 165 2342 2768 3046 1546 1304 1271
29,3537 187 2230 2950 395 799 1760 3561 2642 939
30,2024 1023 872 1678 2700 3362 2458 2969 2421 1193
31,517 3532 3298 784 1725 1644 1744 1729 1811 2069
32,1223 2534 1583 1916 1316 3013 2474 1804 2488 2817
33,1316 3153 1543 707 3529 124 487 640 1928 989
34,3473 1583 543 1211 3528 463 1855 36 1859 1001
35,2630 640 3694 3272 2510 2784 3382 3473 772 2732
36,1223 2862 124 707 36 476 409 2847 883 1950
37,1332 1951 2146 2003 2551 2456 32 2850 1422 1959
38,1704 1514 2499 3454 356 1009 2734 3545 1174 1109
39,512 1086 1687 724 2428 1573 2870 234 2311 2424
40,2653 1337 1272 3311 1037 739 802 3406 2670 1424
41,2198 3530 904 2337 3435 1617 2911 3598 2853 2358
42,1619 1518 3194 2397 2025 1501 1949 2207 3030 2849
43,498 383 1593 870 1560 620 2293 846 3122 3655
44,69 305 2265 1560 1543 1811 2076 640 1668 409
45,2633 2626 1913 1375 2331 1583 2659 183 3296 1753
46,952 3466 328 1528 20 1868 1587 1545 570 3372
47,560 1868 2504 2274 312 3577 3311 2670 2777 2345
48,802 2653 810 1868 801 1348 382 1801 1367 3363
49,2054 1560 305 640 2528 476 487 707 3350 3402
50,2956 220 1711 2999 81 583 1554 3527 182 1100
51,3677 2382 3231 2132 3119 2139 2622 2068 2350 3133
52,351 2049 2755 2118 2409 2781 1919 549 1818 2970
53,28 1360 829 2564 401 1331 1140 1223 2847 523
54,2082 96 128 353 3071 1171 457 3161 296 1527
55,2653 1337 801 2670 3187 1424 3406 3363 810 488
56,2297 3534 2768 2336 2342 2250 3053 3049 2357 640
57,2436 1636 3143 3662 2030 3198 1412 577 1826 2372
58,20 3427 328 3007 1518 2181 711 481 2207 424
59,1316 160 2504 620 2564 523 2281 2557 707 225
60,3668 1439 3016 790 1960 2256 2261 2956 1428 3059
61,1825 1861 2050 3511 2194 3220 501 1248 3358 16
62,3286 476 1401 1086 1855 169 2659 36 3238 2928
63,2354 2082 563 1044 3318 2145 353 2125 174 2158
64,232 3506 1562 1813 2467 1864 452 3303 1616 3656
65,700 213 206 2275 2033 1527 3181 1519 3616 884
66,3602 3411 313 1052 1259 457 3460 1835 1939 3021
67,2165 2389 1804 2557 454 2488 1324 3526 3227 384
68,1868 1337 1545 107 1060 1300 452 1086 3600 1216
69,1168 1982 35 3514 2990 3401 3280 3206 502 2354
70,1068 3464 3501 121 3209 244 715 118 1518 3007
71,2088 1386 1421 3353 2148 2282 3402 2399 3164 3086
72,2510 640 2602 2067 1078 543 2297 2331 2501 3172
73,1275 899 1174 3374 1322 2836 352 3196 3004 433
74,3677 2622 3231 2139 1470 452 465 3133 2574 188
75,382 3476 453 2801 605 2908 1541 592 190 3097
76,1831 2273 771 640 3350 2006 707 2617 2847 2512
77,37 3677 1807 3390 2236 1371 622 2636 2509 3595
78,880 2224 2580 2086 2110 2073 120 69 3247 1887
79,2082 680 96 2354 1519 1984 628 1773 353 2979
80,2670 3187 452 1246 2653 3311 1884 1700 2345 1691
81,3483 2418 1709 700 2687 1032 3084 1653 3498 145
82,1868 3205 1545 3035 107 2484 1801 2185 1573 528
83,2664 2256 1057 3059 2630 1592 3694 1403 1583 3049
84,563 1174 1044 899 743 1248 1461 1018 1825 213
85,2210 3059 1211 1057 2630 1102 3142 971 1960 3668
86,3213 1073 2768 65 2662 2004 73 2112 1722 1219
87,29 621 3438 2768 1746 3067 3597 3669 3633 2308
88,3692 922 401 1296 3059 452 611 2402 494 2327
89,3272 3409 1316 3153 1475 3562 1831 2847 2515 2365
90,2428 1427 1781 2311 1573 1947 264 1086 3687 1475
91,2636 3677 512 3298 1240 2335 169 1083 69 2387
92,2606 476 971 82 1030 1039 2745 2366 2817 584
93,1686 2345 1337 452 1822 570 1630 312 2614 2023
94,2308 1840 2006 530 1615 3116 462 947 2024 2474
95,3238 119 621 398 3031 2331 3408 1365 1746 189
96,2354 2774 2916 2424 234 1827 1573 1781 2311 2428
97,1081 715 1311 708 1555 539 2342 1693 3091 295
98,1984 2382 465 3231 2132 1470 3119 3133 1319 1820
99,99 1711 583 1374 1471 915 1100 3705 1001 539
100,453 1491 605 106 3432 2908 677 2338 1516 1746
101,1184 3669 1193 3438 3067 3036 2915 530 3238 1996
