user_id,item_id
0,1461 3271 2454 2145 2397 1058 2593 3002 3538 2059
1,232 1246 1822 3656 2518 350 3274 2614 1438 709
2,1687 382 724 234 2625 232 3614 2424 1543 887
3,487 3562 3390 106 989 1560 2515 1792 1012 3482
4,2185 802 2205 2814 810 174 1801 3035 702 1868
5,2397 195 2780 2490 2906 3345 603 2143 411 980
6,1037 456 1367 3030 801 702 3487 2363 2653 1884
7,3660 1287 2048 2397 3685 1303 1096 1708 2237 394
8,79 3101 1686 3404 1337 2345 3539 739 1902 312
9,279 3059 1592 1045 1630 36 2345 1453 1376 2956
10,232 863 3600 1086 2345 3367 472 1337 3402 166
11,1840 2006 2308 3067 771 3535 867 2620 1365 2024
12,1073 3282 3671 3534 1690 621 58 90 2652 2662
13,2570 2290 2474 384 454 3665 124 69 1590 1916
14,1984 3415 2382 1668 2933 3168 1470 3677 1820 1052
15,331 1587 3465 481 3372 1781 2626 458 1621 3007
16,295 872 1501 3639 467 3157 3355 2917 3235 583
17,1030 165 3317 94 3534 293 3051 82 2129 7
18,1044 1839 1936 24 636 2338 1446 2541 1028 1272
19,2345 1246 389 79 540 1173 1980 1887 3276 1813
20,3402 1227 1033 863 561 508 1615 3390 530 1091
21,1582 3090 3375 1919 1054 628 2150 2815 24 1521
22,793 1787 2706 2617 1555 1323 2515 1928 106 3472
23,1341 530 1045 2221 1040 2140 3437 1782 3051 3335
24,2534 707 2474 69 1403 3013 3151 6 184 305
25,1193 3438 166 3669 1671 1218 657 3202 3367 881
26,476 3402 863 3350 1858 2282 3448 2387 1916 2088
27,2128 176 1227 2757 1402 1124 1353 3402 2175 1809
28,2980 2331 119 584 2342 2129 1490 1271 293 1304
29,187 2009 750 512 395 2477 2950 799 1715 1760
30,2215 2024 3362 872 3438 1073 246 482 1671 166
31,2176 3298 517 3532 1652 1644 1744 617 1729 3677
32,1223 463 772 732 2534 1543 1316 2474 472 3013
33,1316 2564 3409 1543 2515 1560 2617 472 124 2862
34,3473 2210 2980 3349 1583 1855 2510 3418 169 1859
35,1223 1560 2510 2784 1186 3125 1543 2745 523 320
36,1223 2564 3153 1316 3529 3272 472 707 1583 1950
37,1951 2003 3185 3214 3182 2374 2146 2551 2850 1501
38,1704 1514 356 1087 3545 2734 1174 3588 679 2259
39,512 2354 1427 1947 2428 724 2311 2916 887 2424
40,1337 2653 1868 107 1272 739 1545 3311 1424 1086
41,2198 1045 904 3435 1617 3405 2358 568 1303 771
42,711 1619 3007 1501 1949 424 2207 2397 2849 3351
43,498 870 620 2293 618 2248 1689 3062 3364 187
44,487 707 1223 1811 409 989 1453 2054 2512 2281
45,2314 2633 3049 2297 2757 1913 1855 1736 2603 1753
46,3194 3466 328 3166 20 1619 1587 634 3372 2603
47,843 2023 2504 540 2345 778 79 2914 2561 1700
48,778 810 1337 802 801 1545 1367 1884 1801 1670
49,69 2054 1811 2265 487 1223 1315 472 1543 2862
50,220 2999 81 324 1127 3020 59 2239 360 1892
51,3119 3677 2382 1984 2139 2622 1820 2933 2132 3133
52,351 2049 2593 549 2409 2970 1094 2781 480 3687
53,829 3272 10 401 1548 2564 1331 1140 1413 1223
54,2082 96 128 3300 1043 680 879 213 1171 3360
55,1337 1545 312 2670 3187 107 739 1086 1037 802
56,1039 1960 2626 3049 2366 2342 2768 99 2956 3053
57,824 813 1734 2248 1412 256 2404 524 1826 2729
58,2027 20 328 1179 2492 3007 1862 481 424 2093
59,1459 2345 2710 1316 1543 375 1173 2557 523 160
60,1134 1439 3016 2833 2366 2956 513 790 3059 1030
61,1081 1825 212 2050 3220 3511 2194 1248 105 2613
62,1401 774 3049 169 476 3048 3082 160 435 3529
63,2082 3658 1044 2584 3266 1527 2145 174 680 353
64,232 1562 3506 1700 1630 1813 645 1251 1864 2730
65,700 3185 2082 1092 2354 185 2275 1836 213 2259
66,3602 3660 313 2222 457 1429 1835 3021 2048 605
67,2165 1804 2493 136 1638 1997 384 2466 2258 1324
68,1868 801 1037 488 107 1337 1300 2338 1086 1936
69,2900 1168 913 3514 3245 1481 553 1034 1177 2942
70,1068 3464 3375 1435 121 3209 2723 715 1578 3007
71,2148 2076 3353 1386 3402 2399 3164 3075 1605 2568
72,543 3049 3172 2501 3332 584 1913 2633 799 1401
73,1275 1322 3223 1174 3196 433 2323 2412 533 366
